fecha_utc,us_numero,us_titulo,estado_anterior,estado_nuevo,tiempo_en_estado_anterior,tiempo_en_estado_anterior_segundos,url
2026-09-22T23:55:23.296300+00:00,29,US 084. Mapa 3,Todo,In Progress,31m,1862,https://github.com/DogeGGss/lcs-tp-principal/issues/29
2026-09-23T04:42:52.196987+00:00,57,US 053. Mostrar vida,Blocked,In Progress,5h 18m,19111,https://github.com/DogeGGss/lcs-tp-principal/issues/57
2026-09-23T04:42:52.196987+00:00,73,US 023. Gestionar vida,Todo,LPR,5h 18m,19111,https://github.com/DogeGGss/lcs-tp-principal/issues/73
2026-09-23T09:34:31.397388+00:00,35,US 002. Correr,Blocked,LPR,10h 10m,36610,https://github.com/DogeGGss/lcs-tp-principal/issues/35
2026-09-23T09:34:31.397388+00:00,57,US 053. Mostrar vida,In Progress,LPR,4h 51m,17499,https://github.com/DogeGGss/lcs-tp-principal/issues/57
2026-09-23T14:24:48.958700+00:00,38,US 004. Agacharse,Blocked,Todo,15h,54027,https://github.com/DogeGGss/lcs-tp-principal/issues/38
2026-09-23T17:31:19.317741+00:00,33,US 001. Caminar,LPR,TESTING,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/33
2026-09-23T17:31:19.317741+00:00,38,US 004. Agacharse,Todo,Blocked,3h 6m,11190,https://github.com/DogeGGss/lcs-tp-principal/issues/38
2026-09-23T17:31:19.317741+00:00,45,US 064. Cambio entre equipamientos,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/45
2026-09-23T17:31:19.317741+00:00,52,US 077. Comprar arma primaria,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/52
2026-09-23T17:31:19.317741+00:00,53,US 078. Comprar arma secundaria,Todo,Blocked,18h 6m,65218,https://github.com/DogeGGss/lcs-tp-principal/issues/53
